gene_id	symbol	name	cytoband	type	num_cohort_ssm_affected_cases	num_cohort_ssm_cases	cohort_ssm_affected_cases_percentage	num_gdc_ssm_affected_cases	num_gdc_ssm_cases	gdc_ssm_affected_cases_percentage	num_cohort_cnv_cases	num_cohort_cnv_gain_cases	cohort_cnv_gain_cases_percentage	num_cohort_cnv_loss_cases	cohort_cnv_loss_cases_percentage	num_mutations	annotations
ENSG00000198173	FAM47C	family with sequence similarity 47 member C	Xp21.1	protein_coding	77	609	12.64	631	16405	3.85	666	0	0.00	0	0.00	92	Cancer Gene Census
ENSG00000196090	PTPRT	protein tyrosine phosphatase receptor type T	20q12, 20q13.11	protein_coding	74	609	12.15	812	16405	4.95	666	219	32.88	84	12.61	93	Cancer Gene Census
ENSG00000198795	ZNF521	zinc finger protein 521	18q11.2	protein_coding	71	609	11.66	536	16405	3.27	666	136	20.42	159	23.87	91	Cancer Gene Census
ENSG00000168542	COL3A1	collagen type III alpha 1 chain	2q32.2	protein_coding	70	609	11.49	583	16405	3.55	666	184	27.63	35	5.26	80	Cancer Gene Census
ENSG00000196712	NF1	neurofibromin 1	17q11.2	protein_coding	69	609	11.33	873	16405	5.32	666	199	29.88	59	8.86	80	Cancer Gene Census
ENSG00000140538	NTRK3	neurotrophic receptor tyrosine kinase 3	15q25.3	protein_coding	65	609	10.67	504	16405	3.07	666	70	10.51	198	29.73	72	Cancer Gene Census
ENSG00000029534	ANK1	ankyrin 1	8p11.21	protein_coding	64	609	10.51	700	16405	4.27	666	180	27.03	154	23.12	75	Cancer Gene Census
ENSG00000185008	ROBO2	roundabout guidance receptor 2	3p12.3	protein_coding	64	609	10.51	668	16405	4.07	666	64	9.61	207	31.08	69	Cancer Gene Census
ENSG00000083857	FAT1	FAT atypical cadherin 1	4q35.2	protein_coding	63	609	10.34	1065	16405	6.49	666	64	9.61	189	28.38	76	Cancer Gene Census
ENSG00000183454	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	16p13.2	protein_coding	63	609	10.34	772	16405	4.71	666	189	28.38	82	12.31	74	Cancer Gene Census
ENSG00000055609	KMT2C	lysine methyltransferase 2C	7q36.1	protein_coding	62	609	10.18	1059	16405	6.46	666	250	37.54	67	10.06	74	Cancer Gene Census
ENSG00000127329	PTPRB	protein tyrosine phosphatase receptor type B	12q15	protein_coding	60	609	9.85	630	16405	3.84	666	195	29.28	64	9.61	71	Cancer Gene Census
ENSG00000044524	EPHA3	EPH receptor A3	3p11.1	protein_coding	57	609	9.36	523	16405	3.19	666	92	13.81	177	26.58	69	Cancer Gene Census
ENSG00000115760	BIRC6	baculoviral IAP repeat containing 6	2p22.3	protein_coding	57	609	9.36	756	16405	4.61	666	184	27.63	42	6.31	68	Cancer Gene Census
ENSG00000178568	ERBB4	erb-b2 receptor tyrosine kinase 4	2q34	protein_coding	57	609	9.36	672	16405	4.10	666	166	24.92	49	7.36	67	Cancer Gene Census
ENSG00000149311	ATM	ATM serine/threonine kinase	11q22.3	protein_coding	55	609	9.03	757	16405	4.61	666	147	22.07	132	19.82	62	Cancer Gene Census
ENSG00000081237	PTPRC	protein tyrosine phosphatase receptor type C	1q31.3, 1q32.1	protein_coding	53	609	8.70	485	16405	2.96	666	421	63.21	13	1.95	59	Cancer Gene Census
ENSG00000127616	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	19p13.2	protein_coding	53	609	8.70	580	16405	3.54	666	38	5.71	264	39.64	58	Cancer Gene Census
ENSG00000128052	KDR	kinase insert domain receptor	4q12	protein_coding	53	609	8.70	501	16405	3.05	666	130	19.52	92	13.81	61	Cancer Gene Census
ENSG00000167548	KMT2D	lysine methyltransferase 2D	12q13.12	protein_coding	53	609	8.70	1333	16405	8.13	666	164	24.62	83	12.46	57	Cancer Gene Census
ENSG00000198354	DCAF12L2	DDB1 and CUL4 associated factor 12 like 2	Xq25	protein_coding	51	609	8.37	390	16405	2.38	666	0	0.00	0	0.00	57	Cancer Gene Census
ENSG00000196367	TRRAP	transformation/transcription domain associated protein	7q22.1	protein_coding	50	609	8.21	749	16405	4.57	666	247	37.09	63	9.46	61	Cancer Gene Census
ENSG00000134853	PDGFRA	platelet derived growth factor receptor alpha	4q12	protein_coding	49	609	8.05	440	16405	2.68	666	127	19.07	89	13.36	56	Cancer Gene Census
ENSG00000185177	ZNF479	zinc finger protein 479	7p11.2	protein_coding	49	609	8.05	386	16405	2.35	666	313	47.00	51	7.66	51	Cancer Gene Census
ENSG00000196924	FLNA	filamin A	Xq28	protein_coding	49	609	8.05	589	16405	3.59	666	0	0.00	0	0.00	55	Cancer Gene Census
ENSG00000172915	NBEA	neurobeachin	13q13.3	protein_coding	48	609	7.88	699	16405	4.26	666	55	8.26	259	38.89	49	Cancer Gene Census
ENSG00000133124	IRS4	insulin receptor substrate 4	Xq22.3	protein_coding	44	609	7.22	456	16405	2.78	666	0	0.00	0	0.00	48	Cancer Gene Census
ENSG00000133392	MYH11	myosin heavy chain 11	16p13.11	protein_coding	44	609	7.22	566	16405	3.45	666	190	28.53	86	12.91	46	Cancer Gene Census
ENSG00000184634	MED12	mediator complex subunit 12	Xq13.1	protein_coding	44	609	7.22	556	16405	3.39	666	0	0.00	0	0.00	51	Cancer Gene Census
ENSG00000184675	AMER1	APC membrane recruitment protein 1	Xq11.2	protein_coding	44	609	7.22	430	16405	2.62	666	0	0.00	0	0.00	53	Cancer Gene Census
ENSG00000051341	POLQ	DNA polymerase theta	3q13.33	protein_coding	43	609	7.06	528	16405	3.22	666	138	20.72	134	20.12	49	Cancer Gene Census
ENSG00000079102	RUNX1T1	RUNX1 partner transcriptional co-repressor 1	8q21.3	protein_coding	43	609	7.06	513	16405	3.13	666	314	47.15	33	4.95	47	Cancer Gene Census
ENSG00000085224	ATRX	ATRX chromatin remodeler	Xq21.1	protein_coding	43	609	7.06	813	16405	4.96	666	0	0.00	0	0.00	50	Cancer Gene Census
ENSG00000140937	CDH11	cadherin 11	16q21	protein_coding	43	609	7.06	492	16405	3.00	666	155	23.27	134	20.12	48	Cancer Gene Census
ENSG00000171094	ALK	ALK receptor tyrosine kinase	2p23.2, 2p23.1	protein_coding	43	609	7.06	491	16405	2.99	666	185	27.78	42	6.31	57	Cancer Gene Census
ENSG00000127914	AKAP9	A-kinase anchoring protein 9	7q21.2	protein_coding	42	609	6.90	657	16405	4.00	666	251	37.69	56	8.41	44	Cancer Gene Census
ENSG00000181555	SETD2	SET domain containing 2, histone lysine methyltransferase	3p21.31	protein_coding	42	609	6.90	633	16405	3.86	666	33	4.95	245	36.79	52	Cancer Gene Census
ENSG00000135333	EPHA7	EPH receptor A7	6q16.1	protein_coding	41	609	6.73	419	16405	2.55	666	65	9.76	276	41.44	46	Cancer Gene Census
ENSG00000140836	ZFHX3	zinc finger homeobox 3	16q22.2, 16q22.3	protein_coding	41	609	6.73	834	16405	5.08	666	129	19.37	147	22.07	45	Cancer Gene Census
ENSG00000148516	ZEB1	zinc finger E-box binding homeobox 1	10p11.22	protein_coding	41	609	6.73	390	16405	2.38	666	175	26.28	77	11.56	44	Cancer Gene Census
ENSG00000157764	BRAF	B-Raf proto-oncogene, serine/threonine kinase	7q34	protein_coding	41	609	6.73	963	16405	5.87	666	240	36.04	59	8.86	25	Cancer Gene Census
ENSG00000182872	RBM10	RNA binding motif protein 10	Xp11.3	protein_coding	40	609	6.57	315	16405	1.92	666	0	0.00	0	0.00	42	Cancer Gene Census
ENSG00000187323	DCC	DCC netrin 1 receptor	18q21.2	protein_coding	40	609	6.57	750	16405	4.57	666	68	10.21	250	37.54	49	Cancer Gene Census
ENSG00000085185	BCORL1	BCL6 corepressor like 1	Xq26.1	protein_coding	39	609	6.40	516	16405	3.15	666	0	0.00	0	0.00	44	Cancer Gene Census
ENSG00000117713	ARID1A	AT-rich interaction domain 1A	1p36.11	protein_coding	39	609	6.40	1151	16405	7.02	666	119	17.87	118	17.72	42	Cancer Gene Census
ENSG00000153201	RANBP2	RAN binding protein 2	2q13	protein_coding	39	609	6.40	533	16405	3.25	666	183	27.48	25	3.75	43	Cancer Gene Census
ENSG00000171735	CAMTA1	calmodulin binding transcription activator 1	1p36.31, 1p36.23	protein_coding	39	609	6.40	481	16405	2.93	666	138	20.72	132	19.82	41	Cancer Gene Census
ENSG00000173821	RNF213	ring finger protein 213	17q25.3	protein_coding	39	609	6.40	756	16405	4.61	666	265	39.79	33	4.95	46	Cancer Gene Census
ENSG00000198286	CARD11	caspase recruitment domain family member 11	7p22.2	protein_coding	39	609	6.40	482	16405	2.94	666	325	48.80	39	5.86	39	Cancer Gene Census
ENSG00000067842	ATP2B3	ATPase plasma membrane Ca2+ transporting 3	Xq28	protein_coding	38	609	6.24	427	16405	2.60	666	0	0.00	0	0.00	40	Cancer Gene Census
ENSG00000118058	KMT2A	lysine methyltransferase 2A	11q23.3	protein_coding	38	609	6.24	685	16405	4.18	666	151	22.67	123	18.47	42	Cancer Gene Census
ENSG00000134982	APC	APC regulator of WNT signaling pathway	5q22.2	protein_coding	38	609	6.24	1079	16405	6.58	666	100	15.02	195	29.28	40	Cancer Gene Census
ENSG00000189079	ARID2	AT-rich interaction domain 2	12q12	protein_coding	38	609	6.24	527	16405	3.21	666	149	22.37	87	13.06	42	Cancer Gene Census
ENSG00000168685	IL7R	interleukin 7 receptor	5p13.2	protein_coding	37	609	6.08	326	16405	1.99	666	390	58.56	19	2.85	39	Cancer Gene Census
ENSG00000005339	CREBBP	CREB binding protein	16p13.3	protein_coding	36	609	5.91	774	16405	4.72	666	169	25.38	115	17.27	38	Cancer Gene Census
ENSG00000046889	PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2	8q13.2	protein_coding	36	609	5.91	698	16405	4.25	666	281	42.19	53	7.96	42	Cancer Gene Census
ENSG00000104517	UBR5	ubiquitin protein ligase E3 component n-recognin 5	8q22.3	protein_coding	36	609	5.91	559	16405	3.41	666	334	50.15	30	4.50	43	Cancer Gene Census
ENSG00000139219	COL2A1	collagen type II alpha 1 chain	12q13.11	protein_coding	36	609	5.91	404	16405	2.46	666	159	23.87	85	12.76	39	Cancer Gene Census
ENSG00000177084	POLE	DNA polymerase epsilon, catalytic subunit	12q24.33	protein_coding	36	609	5.91	492	16405	3.00	666	122	18.32	129	19.37	39	Cancer Gene Census
ENSG00000182901	RGS7	regulator of G protein signaling 7	1q43	protein_coding	36	609	5.91	350	16405	2.13	666	406	60.96	20	3.00	38	Cancer Gene Census
ENSG00000196498	NCOR2	nuclear receptor corepressor 2	12q24.31	protein_coding	36	609	5.91	514	16405	3.13	666	134	20.12	113	16.97	41	Cancer Gene Census
ENSG00000139687	RB1	RB transcriptional corepressor 1	13q14.2	protein_coding	35	609	5.75	560	16405	3.41	666	59	8.86	252	37.84	35	Cancer Gene Census
ENSG00000166501	PRKCB	protein kinase C beta	16p12.2, 16p12.1	protein_coding	35	609	5.75	344	16405	2.10	666	178	26.73	78	11.71	37	Cancer Gene Census
ENSG00000147889	CDKN2A	cyclin dependent kinase inhibitor 2A	9p21.3	protein_coding	34	609	5.58	576	16405	3.51	666	70	10.51	315	47.30	34	Cancer Gene Census
ENSG00000157168	NRG1	neuregulin 1	8p12	protein_coding	34	609	5.58	448	16405	2.73	666	83	12.46	279	41.89	35	Cancer Gene Census
ENSG00000198793	MTOR	mechanistic target of rapamycin kinase	1p36.22	protein_coding	34	609	5.58	515	16405	3.14	666	135	20.27	121	18.17	41	Cancer Gene Census
ENSG00000047410	TPR	translocated promoter region, nuclear basket protein	1q31.1	protein_coding	33	609	5.42	463	16405	2.82	666	435	65.32	9	1.35	35	Cancer Gene Census
ENSG00000119866	BCL11A	BAF chromatin remodeling complex subunit BCL11A	2p16.1	protein_coding	33	609	5.42	383	16405	2.33	666	179	26.88	38	5.71	37	Cancer Gene Census
ENSG00000139618	BRCA2	BRCA2 DNA repair associated	13q13.1	protein_coding	33	609	5.42	566	16405	3.45	666	57	8.56	258	38.74	39	Cancer Gene Census
ENSG00000065526	SPEN	spen family transcriptional repressor	1p36.21, 1p36.13	protein_coding	31	609	5.09	628	16405	3.83	666	140	21.02	117	17.57	35	Cancer Gene Census
ENSG00000121879	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	3q26.32	protein_coding	31	609	5.09	1673	16405	10.20	666	173	25.98	117	17.57	22	Cancer Gene Census
ENSG00000103522	IL21R	interleukin 21 receptor	16p12.1	protein_coding	30	609	4.93	239	16405	1.46	666	181	27.18	75	11.26	31	Cancer Gene Census
ENSG00000126012	KDM5C	lysine demethylase 5C	Xp11.22	protein_coding	30	609	4.93	385	16405	2.35	666	0	0.00	0	0.00	31	Cancer Gene Census
ENSG00000041982	TNC	tenascin C	9q33.1	protein_coding	29	609	4.76	528	16405	3.22	666	80	12.01	182	27.33	32	Cancer Gene Census
ENSG00000101115	SALL4	spalt like transcription factor 4	20q13.2	protein_coding	29	609	4.76	373	16405	2.27	666	238	35.74	73	10.96	32	Cancer Gene Census
ENSG00000127152	BCL11B	BAF chromatin remodeling complex subunit BCL11B	14q32.2	protein_coding	29	609	4.76	350	16405	2.13	666	143	21.47	136	20.42	31	Cancer Gene Census
ENSG00000152894	PTPRK	protein tyrosine phosphatase receptor type K	6q22.33	protein_coding	29	609	4.76	419	16405	2.55	666	65	9.76	259	38.89	30	Cancer Gene Census
ENSG00000163629	PTPN13	protein tyrosine phosphatase non-receptor type 13	4q21.3	protein_coding	29	609	4.76	444	16405	2.71	666	75	11.26	138	20.72	31	Cancer Gene Census
ENSG00000165409	TSHR	thyroid stimulating hormone receptor	14q31.1	protein_coding	29	609	4.76	244	16405	1.49	666	144	21.62	141	21.17	34	Cancer Gene Census
ENSG00000176571	CNBD1	cyclic nucleotide binding domain containing 1	8q21.3	protein_coding	29	609	4.76	245	16405	1.49	666	310	46.55	44	6.61	32	Cancer Gene Census
ENSG00000047936	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	6q22.1	protein_coding	28	609	4.60	611	16405	3.72	666	55	8.26	280	42.04	28	Cancer Gene Census
ENSG00000087460	GNAS	GNAS complex locus	20q13.32	protein_coding	28	609	4.60	366	16405	2.23	666	277	41.59	47	7.06	24	Cancer Gene Census
ENSG00000134250	NOTCH2	notch receptor 2	1p12	protein_coding	28	609	4.60	430	16405	2.62	666	130	19.52	142	21.32	32	Cancer Gene Census
ENSG00000175054	ATR	ATR serine/threonine kinase	3q23	protein_coding	28	609	4.60	495	16405	3.02	666	155	23.27	115	17.27	31	Cancer Gene Census
ENSG00000049618	ARID1B	AT-rich interaction domain 1B	6q25.3	protein_coding	27	609	4.43	477	16405	2.91	666	51	7.66	277	41.59	31	Cancer Gene Census
ENSG00000122778	KIAA1549	KIAA1549	7q34	protein_coding	27	609	4.43	468	16405	2.85	666	242	36.34	63	9.46	29	Cancer Gene Census
ENSG00000126883	NUP214	nucleoporin 214	9q34.13	protein_coding	27	609	4.43	360	16405	2.19	666	77	11.56	193	28.98	28	Cancer Gene Census
ENSG00000135111	TBX3	T-box transcription factor 3	12q24.21	protein_coding	27	609	4.43	278	16405	1.69	666	122	18.32	127	19.07	28	Cancer Gene Census
ENSG00000183337	BCOR	BCL6 corepressor	Xp11.4	protein_coding	27	609	4.43	489	16405	2.98	666	0	0.00	0	0.00	27	Cancer Gene Census
ENSG00000184507	NUTM1	NUT midline carcinoma family member 1	15q14	protein_coding	27	609	4.43	309	16405	1.88	666	41	6.16	251	37.69	29	Cancer Gene Census
ENSG00000198822	GRM3	glutamate metabotropic receptor 3	7q21.11, 7q21.12	protein_coding	27	609	4.43	528	16405	3.22	666	251	37.69	59	8.86	28	Cancer Gene Census
ENSG00000012048	BRCA1	BRCA1 DNA repair associated	17q21.31	protein_coding	26	609	4.27	366	16405	2.23	666	227	34.08	44	6.61	27	Cancer Gene Census
ENSG00000119772	DNMT3A	DNA methyltransferase 3 alpha	2p23.3	protein_coding	26	609	4.27	336	16405	2.05	666	181	27.18	44	6.61	30	Cancer Gene Census
ENSG00000138336	TET1	tet methylcytosine dioxygenase 1	10q21.3	protein_coding	26	609	4.27	452	16405	2.76	666	123	18.47	136	20.42	28	Cancer Gene Census
ENSG00000145113	MUC4	mucin 4, cell surface associated	3q29	protein_coding	26	609	4.27	630	16405	3.84	666	159	23.87	147	22.07	32	Cancer Gene Census
ENSG00000148400	NOTCH1	notch receptor 1	9q34.3	protein_coding	25	609	4.11	806	16405	4.91	666	80	12.01	194	29.13	27	Cancer Gene Census
ENSG00000165731	RET	ret proto-oncogene	10q11.21	protein_coding	25	609	4.11	365	16405	2.22	666	142	21.32	100	15.02	26	Cancer Gene Census
ENSG00000184937	WT1	WT1 transcription factor	11p13	protein_coding	25	609	4.11	328	16405	2.00	666	108	16.22	108	16.22	30	Cancer Gene Census
ENSG00000196914	ARHGEF12	Rho guanine nucleotide exchange factor 12	11q23.3	protein_coding	25	609	4.11	305	16405	1.86	666	145	21.77	135	20.27	25	Cancer Gene Census
ENSG00000084676	NCOA1	nuclear receptor coactivator 1	2p23.3	protein_coding	24	609	3.94	286	16405	1.74	666	184	27.63	42	6.31	24	Cancer Gene Census
ENSG00000100503	NIN	ninein	14q22.1	protein_coding	24	609	3.94	384	16405	2.34	666	182	27.33	101	15.17	24	Cancer Gene Census
ENSG00000100852	ARHGAP5	Rho GTPase activating protein 5	14q12	protein_coding	24	609	3.94	360	16405	2.19	666	249	37.39	67	10.06	27	Cancer Gene Census
ENSG00000105976	MET	MET proto-oncogene, receptor tyrosine kinase	7q31.2	protein_coding	24	609	3.94	349	16405	2.13	666	255	38.29	65	9.76	24	Cancer Gene Census
ENSG00000111087	GLI1	GLI family zinc finger 1	12q13.3	protein_coding	24	609	3.94	328	16405	2.00	666	182	27.33	62	9.31	24	Cancer Gene Census
ENSG00000113263	ITK	IL2 inducible T cell kinase	5q33.3	protein_coding	24	609	3.94	238	16405	1.45	666	120	18.02	157	23.57	25	Cancer Gene Census
ENSG00000122025	FLT3	fms related receptor tyrosine kinase 3	13q12.2	protein_coding	24	609	3.94	440	16405	2.68	666	59	8.86	265	39.79	27	Cancer Gene Census
ENSG00000136492	BRIP1	BRCA1 interacting protein C-terminal helicase 1	17q23.2	protein_coding	24	609	3.94	274	16405	1.67	666	261	39.19	31	4.65	25	Cancer Gene Census
ENSG00000151702	FLI1	Fli-1 proto-oncogene, ETS transcription factor	11q24.3	protein_coding	24	609	3.94	199	16405	1.21	666	160	24.02	131	19.67	26	Cancer Gene Census
ENSG00000162733	DDR2	discoidin domain receptor tyrosine kinase 2	1q23.3	protein_coding	24	609	3.94	267	16405	1.63	666	445	66.82	9	1.35	27	Cancer Gene Census
ENSG00000165671	NSD1	nuclear receptor binding SET domain protein 1	5q35.3	protein_coding	24	609	3.94	561	16405	3.42	666	141	21.17	146	21.92	25	Cancer Gene Census
ENSG00000010671	BTK	Bruton tyrosine kinase	Xq22.1	protein_coding	23	609	3.78	241	16405	1.47	666	0	0.00	0	0.00	27	Cancer Gene Census
ENSG00000079112	CDH17	cadherin 17	8q22.1	protein_coding	23	609	3.78	264	16405	1.61	666	319	47.90	32	4.80	28	Cancer Gene Census
ENSG00000099949	LZTR1	leucine zipper like transcription regulator 1	22q11.21	protein_coding	23	609	3.78	275	16405	1.68	666	115	17.27	154	23.12	23	Cancer Gene Census
ENSG00000143322	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	1q25.2	protein_coding	23	609	3.78	299	16405	1.82	666	431	64.71	13	1.95	23	Cancer Gene Census
ENSG00000178104	PDE4DIP	phosphodiesterase 4D interacting protein	1q21.2	protein_coding	23	609	3.78	434	16405	2.65	666	446	66.97	9	1.35	25	Cancer Gene Census
ENSG00000185811	IKZF1	IKAROS family zinc finger 1	7p12.2	protein_coding	23	609	3.78	336	16405	2.05	666	309	46.40	39	5.86	25	Cancer Gene Census
ENSG00000196220	SRGAP3	SLIT-ROBO Rho GTPase activating protein 3	3p25.3	protein_coding	23	609	3.78	298	16405	1.82	666	45	6.76	232	34.83	26	Cancer Gene Census
ENSG00000037280	FLT4	fms related receptor tyrosine kinase 4	5q35.3	protein_coding	22	609	3.61	470	16405	2.86	666	138	20.72	143	21.47	26	Cancer Gene Census
ENSG00000101972	STAG2	stromal antigen 2	Xq25	protein_coding	22	609	3.61	396	16405	2.41	666	0	0.00	0	0.00	25	Cancer Gene Census
ENSG00000110713	NUP98	nucleoporin 98 and 96 precursor	11p15.4	protein_coding	22	609	3.61	327	16405	1.99	666	91	13.66	125	18.77	22	Cancer Gene Census
ENSG00000129204	USP6	ubiquitin specific peptidase 6	17p13.2	protein_coding	22	609	3.61	345	16405	2.10	666	40	6.01	297	44.59	23	Cancer Gene Census
ENSG00000141646	SMAD4	SMAD family member 4	18q21.2	protein_coding	22	609	3.61	386	16405	2.35	666	64	9.61	251	37.69	23	Cancer Gene Census
ENSG00000147130	ZMYM3	zinc finger MYM-type containing 3	Xq13.1	protein_coding	22	609	3.61	322	16405	1.96	666	0	0.00	0	0.00	22	Cancer Gene Census
ENSG00000179399	GPC5	glypican 5	13q31.3	protein_coding	22	609	3.61	337	16405	2.05	666	107	16.07	194	29.13	25	Cancer Gene Census
ENSG00000182162	P2RY8	P2Y receptor family member 8	Xp22.33	protein_coding	22	609	3.61	227	16405	1.38	666	0	0.00	0	0.00	23	Cancer Gene Census
ENSG00000182578	CSF1R	colony stimulating factor 1 receptor	5q32	protein_coding	22	609	3.61	246	16405	1.50	666	114	17.12	163	24.47	22	Cancer Gene Census
ENSG00000185920	PTCH1	patched 1	9q22.32	protein_coding	22	609	3.61	386	16405	2.35	666	59	8.86	212	31.83	22	Cancer Gene Census
ENSG00000070371	CLTCL1	clathrin heavy chain like 1	22q11.21	protein_coding	21	609	3.45	315	16405	1.92	666	110	16.52	163	24.47	21	Cancer Gene Census
ENSG00000100345	MYH9	myosin heavy chain 9	22q12.3	protein_coding	21	609	3.45	483	16405	2.94	666	69	10.36	203	30.48	22	Cancer Gene Census
ENSG00000101096	NFATC2	nuclear factor of activated T cells 2	20q13.2	protein_coding	21	609	3.45	326	16405	1.99	666	240	36.04	63	9.46	23	Cancer Gene Census
ENSG00000115524	SF3B1	splicing factor 3b subunit 1	2q33.1	protein_coding	21	609	3.45	366	16405	2.23	666	170	25.53	46	6.91	20	Cancer Gene Census
ENSG00000141027	NCOR1	nuclear receptor corepressor 1	17p12, 17p11.2	protein_coding	21	609	3.45	538	16405	3.28	666	50	7.51	274	41.14	22	Cancer Gene Census
ENSG00000142611	PRDM16	PR/SET domain 16	1p36.32	protein_coding	21	609	3.45	377	16405	2.30	666	147	22.07	134	20.12	21	Cancer Gene Census
ENSG00000157388	CACNA1D	calcium voltage-gated channel subunit alpha1 D	3p21.1	protein_coding	21	609	3.45	508	16405	3.10	666	35	5.26	234	35.14	23	Cancer Gene Census
ENSG00000197535	MYO5A	myosin VA	15q21.2	protein_coding	21	609	3.45	364	16405	2.22	666	48	7.21	227	34.08	22	Cancer Gene Census
ENSG00000198400	NTRK1	neurotrophic receptor tyrosine kinase 1	1q23.1	protein_coding	21	609	3.45	258	16405	1.57	666	444	66.67	9	1.35	24	Cancer Gene Census
ENSG00000078177	N4BP2	NEDD4 binding protein 2	4p14	protein_coding	20	609	3.28	304	16405	1.85	666	125	18.77	118	17.72	22	Cancer Gene Census
ENSG00000100697	DICER1	dicer 1, ribonuclease III	14q32.13	protein_coding	20	609	3.28	385	16405	2.35	666	138	20.72	139	20.87	19	Cancer Gene Census
ENSG00000113721	PDGFRB	platelet derived growth factor receptor beta	5q32	protein_coding	20	609	3.28	264	16405	1.61	666	117	17.57	163	24.47	20	Cancer Gene Census
ENSG00000116044	NFE2L2	nuclear factor, erythroid 2 like 2	2q31.2	protein_coding	20	609	3.28	331	16405	2.02	666	187	28.08	32	4.80	20	Cancer Gene Census
ENSG00000123473	STIL	STIL centriolar assembly protein	1p33	protein_coding	20	609	3.28	247	16405	1.51	666	144	21.62	94	14.11	20	Cancer Gene Census
ENSG00000140396	NCOA2	nuclear receptor coactivator 2	8q13.3	protein_coding	20	609	3.28	304	16405	1.85	666	290	43.54	53	7.96	21	Cancer Gene Census
ENSG00000147050	KDM6A	lysine demethylase 6A	Xp11.3	protein_coding	20	609	3.28	472	16405	2.88	666	0	0.00	0	0.00	20	Cancer Gene Census
ENSG00000165238	WNK2	WNK lysine deficient protein kinase 2	9q22.31	protein_coding	20	609	3.28	461	16405	2.81	666	58	8.71	212	31.83	22	Cancer Gene Census
